country,year,sex,age,suicides_no,population
Canada,1981,male,75+,107.0,339000.0
Canada,1982,female,15-24,108.0,2371000.0
Canada,1982,female,25-34,172.0,2082000.0
Canada,1982,female,35-54,293.0,2715000.0
Canada,1982,female,05-14,4.0,1864000.0
Canada,1982,female,55-74,193.0,1930000.0
Canada,1982,female,75+,25.0,539000.0
Canada,1982,male,15-24,627.0,2456000.0
Canada,1982,male,25-34,658.0,2089000.0
Canada,1982,male,35-54,799.0,2745000.0
Canada,1982,male,05-14,24.0,1960000.0
Canada,1982,male,55-74,524.0,1697000.0
Canada,1982,male,75+,90.0,341000.0
Canada,1983,female,15-24,101.0,2235100.0
Canada,1983,female,25-34,177.0,2183900.0
Canada,1983,female,35-54,333.0,2875400.0
Canada,1983,female,05-14,3.0,1772300.0
Canada,1983,female,55-74,219.0,2021100.0
Canada,1983,female,75+,37.0,593400.0
Canada,1983,male,15-24,661.0,2302400.0
Canada,1983,male,25-34,692.0,2171400.0
Canada,1983,male,35-54,804.0,2910600.0
Canada,1983,male,05-14,20.0,1867400.0
Canada,1983,male,55-74,566.0,1776200.0
Canada,1983,male,75+,142.0,363900.0
Canada,1984,female,15-24,94.0,2190000.0
Canada,1984,female,25-34,156.0,2218800.0
Canada,1984,female,35-54,288.0,2952900.0
Canada,1984,female,05-14,4.0,1760900.0
Canada,1984,female,55-74,200.0,2055500.0
Canada,1984,female,75+,36.0,617300.0
Canada,1984,male,15-24,610.0,2265000.0
Canada,1984,male,25-34,612.0,2203100.0
Canada,1984,male,35-54,796.0,2981100.0
Canada,1984,male,05-14,24.0,1854700.0
Canada,1984,male,55-74,495.0,1808400.0
Canada,1984,male,75+,124.0,375500.0
Canada,1985,female,15-24,85.0,2143200.0
Canada,1985,female,25-34,148.0,2257500.0
Canada,1985,female,35-54,255.0,3025600.0
Canada,1985,female,05-14,5.0,1751000.0
Canada,1985,female,55-74,166.0,2092200.0
Canada,1985,female,75+,34.0,642900.0
Canada,1985,male,15-24,560.0,2224600.0
